181.89,177.55,119.22,44.54,150.58,1,3,9,38,RURAL
314.83,239.05,120.47,268.28,259.54,2,19,3,426,RURAL
304.10,103.39,280.04,24.80,13.93,3,7,8,71,URBANO
265.02,312.76,55.68,263.17,315.82,4,33,5,408,RURAL
117.54,11.27,175.17,211.36,288.36,5,30,2,284,URBANO
201.86,116.93,101.05,287.78,205.48,6,32,7,21,URBANO
327.51,97.02,68.89,311.15,253.30,7,12,5,487,URBANO
258.26,218.60,72.94,270.01,29.72,8,2,10,132,URBANO
313.81,218.22,39.68,63.46,235.52,9,7,10,273,RURAL
112.67,260.26,22.17,108.31,31.40,10,22,5,72,RURAL
44.07,74.19,241.14,273.31,15.64,11,34,10,493,URBANO
273.38,325.61,63.27,234.95,324.68,12,4,1,461,RURAL
32.38,263.38,316.21,116.70,237.24,13,2,7,402,RURAL
42.20,30.26,302.20,167.29,76.41,14,33,9,384,RURAL
76.53,133.52,35.72,104.60,38.95,15,9,9,50,RURAL
138.15,313.47,119.89,189.20,127.97,16,33,8,17,URBANO
42.64,67.87,166.05,309.73,225.00,17,7,5,379,URBANO
218.86,271.50,45.18,59.23,251.59,18,2,7,239,RURAL
149.92,202.12,83.33,259.33,55.45,19,35,3,237,RURAL
152.16,241.02,59.08,196.38,2.85,20,29,7,171,URBANO
139.34,124.10,217.92,26.84,280.26,21,8,6,348,RURAL
253.34,8.05,22.60,132.19,206.60,22,28,2,349,URBANO
202.51,184.45,149.05,64.26,213.05,23,30,3,376,URBANO
156.58,101.06,259.55,254.57,189.45,24,1,5,481,RURAL
173.16,247.23,30.63,246.40,292.43,25,7,10,177,RURAL
57.06,282.76,226.07,5.35,213.73,26,7,10,389,URBANO
222.40,1.74,157.47,262.75,201.16,27,23,1,214,RURAL
153.42,297.33,211.28,53.22,64.43,28,2,5,321,RURAL
303.71,4.01,72.12,1.48,295.87,29,27,1,101,URBANO
0.95,117.42,111.22,79.68,281.04,30,2,9,348,URBANO
171.97,23.69,127.92,122.21,268.95,31,30,5,403,RURAL
26.84,227.75,26.93,151.36,217.72,32,6,10,61,RURAL
280.40,91.98,320.01,147.45,185.47,33,9,10,405,RURAL
242.81,209.96,314.22,154.06,85.40,34,4,4,102,RURAL
214.91,264.35,54.09,215.04,296.14,35,15,3,212,URBANO
15.20,186.05,174.65,82.00,316.01,36,1,6,267,URBANO
14.14,173.77,204.15,69.67,295.53,37,27,2,377,RURAL
298.59,1.83,198.69,235.82,186.07,38,34,2,100,URBANO
314.19,154.62,270.58,192.98,121.31,39,8,3,70,URBANO
